time,code,class
0.11,a,1
3.73,s,1
11.732,d,1
14.851,o,1
18.486,p,1
24.734,o,1
26.294,d,1
28.374,s,1
32.006,a,1
36.167,s,1
37.212,d,1
39.813,o,1
42.412,p,1
46.568,o,1
49.686,d,1
51.774,s,1
52.81,a,1
57.494,s,1
60.611,d,1
62.688,m,1
64.774,d,1
65.292,o,1
67.369,p,1
71.532,o,1
74.131,d,1
75.687,s,1
77.252,a,1
81.932,s,1
83.487,d,1
84.012,m,1
85.05,o,1
86.613,p,1
89.729,o,1
91.291,d,1
92.333,m,1
93.888,s,1
95.446,a,1
99.61,s,1
101.175,a,1
102.21,s,1
103.774,d,1
105.333,o,1
106.888,p,1
112.093,o,1
113.133,d,1
114.174,o,1
115.212,m,1
115.733,s,1
116.767,a,1
119.369,s,1
125.089,d,1
125.609,m,1
127.168,o,1
128.21,p,1
131.849,o,1
138.089,d,1
140.174,s,1
143.287,a,1
144.333,s,1
145.374,d,1
145.891,m,1
146.933,o,1
148.489,p,1
154.729,o,1
156.288,d,1
157.327,m,1
158.887,s,1
159.933,a,1
166.169,s,1
167.733,d,1
168.249,m,1
169.812,o,1
172.406,p,1
178.126,o,1
179.174,d,1
180.214,m,1
181.248,d,1
182.286,s,1
183.851,a,1
185.408,s,1
186.974,d,1
187.488,m,1
189.573,d,1
191.131,o,1
193.207,p,1
198.407,o,1
199.449,d,1
200.488,m,1
201.53,d,1
202.574,s,1
205.687,a,1
206.733,s,1
208.812,d,1
209.332,m,1
211.408,d,1
211.932,o,1
215.05,p,1
219.214,o,1
225.974,d,1
226.488,m,1
229.608,d,1
230.653,m,1
232.214,d,1
233.252,s,1
234.287,a,1
235.853,s,1
236.891,d,1
237.933,m,1
239.487,d,1
240.533,o,1
242.612,p,1
249.619,o,1
251.462,d,1
252.704,END,0
